MemberID,Name,Gender,Age,City,Height_cm,Weight_Start_kg,Weight_Current_kg,BMI_Start,BMI_Current,MembershipType,MonthlyFee,Goal,WorkoutType,Trainer,SessionsPerWeek,MonthsActive,WeightLoss_kg,SatisfactionScore,Churned,JoinDate
GYM1001,Arun,Male,36,Mumbai,166.9,85.8,80.7,30.8,29.0,Premium,3499,Muscle Gain,Strength,Trainer A,1,35,5.1,10,0,2022-01-31
GYM1002,Vijay,Male,29,Chennai,166.1,97.0,84.6,35.2,30.7,Standard,1999,General Fitness,Zumba,Trainer B,4,35,12.4,4,0,2022-10-12
GYM1003,Praveen,Male,27,Hyderabad,172.3,72.4,69.7,24.4,23.5,Standard,1999,Endurance,Yoga,Trainer B,3,14,2.7,2,1,2022-04-10
GYM1004,Keerthana,Female,34,Delhi,142.7,44.3,42.3,21.8,20.8,Premium,3499,General Fitness,Cardio,Trainer D,1,35,2.0,7,1,2022-10-28
GYM1005,Lakshmi,Female,21,Chennai,160.5,54.1,54.1,21.0,21.0,Standard,1999,Weight Loss,Swimming,Trainer B,1,19,0.0,4,0,2023-01-25
GYM1006,Deepa,Female,46,Hyderabad,156.2,65.8,59.3,27.0,24.3,Premium,3499,Muscle Gain,Yoga,Trainer B,6,18,6.5,2,0,2022-06-25
GYM1007,Ramesh,Male,26,Delhi,168.9,64.2,56.4,22.5,19.8,Elite,5999,Endurance,Swimming,No Trainer,6,15,7.8,6,0,2024-03-05
GYM1008,Vijay,Male,25,Pune,165.7,70.8,62.4,25.8,22.7,Basic,999,Flexibility,Yoga,Trainer A,5,14,8.4,6,0,2023-05-27
GYM1009,Viji,Female,31,Delhi,149.5,74.9,62.3,33.5,27.9,Elite,5999,Muscle Gain,Strength,Trainer B,5,36,12.6,5,0,2023-03-15
GYM1010,Anita,Female,34,Kolkata,142.3,49.1,47.5,24.2,23.5,Standard,1999,Muscle Gain,Cardio,Trainer A,2,8,1.6,3,0,2023-03-09
GYM1011,Ganesh,Male,39,Kolkata,169.4,76.6,74.2,26.7,25.9,Elite,5999,General Fitness,Zumba,Trainer C,1,36,2.4,2,0,2023-07-04
GYM1012,Bharathi,Female,18,Delhi,152.2,59.5,55.5,25.7,24.0,Premium,3499,Weight Loss,CrossFit,Trainer B,1,30,4.0,5,0,2024-02-20
GYM1013,Sanjay,Male,35,Mumbai,153.9,81.9,78.1,34.6,33.0,Basic,999,Flexibility,Strength,Trainer C,5,11,3.8,9,0,2023-09-06
GYM1014,Deepa,Female,25,Hyderabad,162.9,77.4,75.4,29.2,28.4,Basic,999,Weight Loss,Yoga,Trainer B,2,4,2.0,10,0,2022-03-29
GYM1015,Keerthana,Female,23,Bangalore,155.5,69.0,61.8,28.5,25.6,Basic,999,General Fitness,Strength,Trainer D,2,36,7.2,5,0,2023-09-14
GYM1016,Kavya,Female,27,Pune,156.5,51.7,41.9,21.1,17.1,Standard,1999,Flexibility,Swimming,Trainer C,5,29,9.8,8,0,2022-08-19
GYM1017,Arjun,Male,40,Mumbai,178.8,77.1,75.5,24.1,23.6,Basic,999,General Fitness,Zumba,Trainer B,1,1,1.6,1,1,2022-02-02
GYM1018,Divya,Female,35,Kolkata,152.8,69.3,62.7,29.7,26.9,Standard,1999,Flexibility,Strength,No Trainer,6,9,6.6,10,0,2022-09-06
GYM1019,Bharathi,Female,31,Coimbatore,170.5,33.6,25.0,11.6,8.6,Elite,5999,Muscle Gain,Cardio,Trainer D,4,23,8.6,7,0,2024-01-17
GYM1020,Vikram,Male,32,Pune,165.6,79.1,79.1,28.8,28.8,Basic,999,Weight Loss,Swimming,Trainer C,2,7,0.0,4,0,2023-04-05
GYM1021,Ganesh,Male,29,Kolkata,170.9,95.7,84.9,32.8,29.1,Standard,1999,Flexibility,Strength,Trainer A,5,29,10.8,2,1,2023-07-08
GYM1022,Karthik,Male,23,Pune,164.0,89.0,84.0,33.1,31.2,Standard,1999,Muscle Gain,CrossFit,Trainer D,4,14,5.0,1,0,2022-01-03
GYM1023,Meena,Female,26,Pune,162.1,66.2,59.6,25.2,22.7,Elite,5999,Flexibility,Swimming,No Trainer,2,32,6.6,4,0,2022-03-01
GYM1024,Dinesh,Male,24,Chennai,165.4,73.3,62.3,26.8,22.8,Premium,3499,Weight Loss,Zumba,Trainer D,5,33,11.0,3,1,2023-06-05
GYM1025,Harish,Male,34,Coimbatore,170.1,78.1,76.4,27.0,26.4,Standard,1999,Weight Loss,Swimming,Trainer B,1,26,1.7,10,0,2023-09-01
GYM1026,Rajesh,Male,18,Hyderabad,164.6,73.9,71.7,27.3,26.5,Basic,999,Endurance,Yoga,Trainer B,2,21,2.2,5,0,2023-11-19
GYM1027,Deepa,Female,30,Chennai,161.2,87.6,86.8,33.7,33.4,Premium,3499,Weight Loss,CrossFit,No Trainer,1,7,0.8,9,0,2022-09-29
GYM1028,Manoj,Male,34,Mumbai,167.4,55.0,51.5,19.6,18.4,Premium,3499,Weight Loss,Yoga,Trainer C,4,11,3.5,9,0,2023-09-19
GYM1029,Vikram,Male,32,Bangalore,187.7,75.7,71.9,21.5,20.4,Premium,3499,Weight Loss,Yoga,Trainer A,6,7,3.8,9,0,2022-10-16
GYM1030,Dinesh,Male,31,Delhi,158.7,91.7,89.2,36.4,35.4,Premium,3499,Muscle Gain,Zumba,Trainer D,1,17,2.5,2,0,2024-04-29
GYM1031,Priya,Female,39,Bangalore,150.7,81.8,78.6,36.0,34.6,Basic,999,Flexibility,Swimming,Trainer C,6,11,3.2,8,0,2023-03-14
GYM1032,Karthik,Male,37,Chennai,185.5,66.1,61.2,19.2,17.8,Basic,999,Muscle Gain,Yoga,No Trainer,2,36,4.9,7,0,2022-11-12
GYM1033,Viji,Female,32,Mumbai,154.0,46.4,44.6,19.6,18.8,Basic,999,Flexibility,Swimming,Trainer B,3,7,1.8,9,0,2023-02-21
GYM1034,Manoj,Male,21,Bangalore,171.8,67.0,58.9,22.7,20.0,Standard,1999,Muscle Gain,CrossFit,Trainer A,6,12,8.1,6,0,2023-02-26
GYM1035,Suresh,Male,24,Pune,165.4,87.8,87.2,32.1,31.9,Standard,1999,Weight Loss,Cardio,Trainer D,2,15,0.6,8,0,2024-04-20
GYM1036,Vijay,Male,34,Pune,178.5,58.7,57.2,18.4,18.0,Basic,999,Muscle Gain,Yoga,Trainer C,3,5,1.5,6,0,2023-02-14
GYM1037,Priya,Female,34,Bangalore,164.3,50.2,50.2,18.6,18.6,Basic,999,Flexibility,Zumba,Trainer C,1,3,0.0,10,0,2024-01-17
GYM1038,Pooja,Female,37,Mumbai,160.4,68.0,65.2,26.4,25.3,Basic,999,Endurance,Yoga,Trainer A,1,28,2.8,9,0,2023-07-06
GYM1039,Arjun,Male,25,Hyderabad,169.9,81.5,78.7,28.2,27.3,Elite,5999,Weight Loss,Zumba,Trainer C,6,8,2.8,5,0,2023-11-14
GYM1040,Anita,Female,50,Bangalore,161.8,50.7,37.7,19.4,14.4,Elite,5999,Flexibility,Strength,Trainer D,6,25,13.0,3,0,2022-11-05
GYM1041,Nisha,Female,22,Delhi,164.3,78.9,73.4,29.2,27.2,Basic,999,Flexibility,Strength,Trainer D,4,21,5.5,8,0,2022-08-07
GYM1042,Bharathi,Female,41,Delhi,161.3,74.9,70.3,28.8,27.0,Standard,1999,Weight Loss,Zumba,No Trainer,1,22,4.6,4,0,2022-08-19
GYM1043,Ramesh,Male,29,Mumbai,162.0,67.3,66.9,25.6,25.5,Basic,999,Weight Loss,CrossFit,No Trainer,4,5,0.4,7,0,2023-08-13
GYM1044,Dinesh,Male,31,Pune,170.7,81.3,80.0,27.9,27.5,Elite,5999,Endurance,Strength,Trainer B,1,1,1.3,7,0,2024-04-03
GYM1045,Priya,Female,32,Kolkata,169.6,61.8,44.1,21.5,15.3,Standard,1999,Weight Loss,Strength,Trainer D,5,34,17.7,10,0,2024-02-13
GYM1046,Lakshmi,Female,38,Kolkata,151.1,52.1,44.4,22.8,19.4,Elite,5999,General Fitness,Strength,Trainer D,3,29,7.7,4,0,2022-10-11
GYM1047,Rekha,Female,29,Kolkata,163.7,70.7,67.0,26.4,25.0,Standard,1999,Flexibility,Cardio,Trainer C,3,16,3.7,6,0,2023-07-08
GYM1048,Ramesh,Male,23,Pune,155.9,72.6,70.2,29.9,28.9,Standard,1999,Muscle Gain,Swimming,Trainer B,1,14,2.4,7,0,2023-07-10
GYM1049,Pooja,Female,34,Pune,148.0,67.1,65.7,30.6,30.0,Basic,999,Muscle Gain,CrossFit,No Trainer,5,2,1.4,7,0,2022-12-27
GYM1050,Bharathi,Female,23,Mumbai,159.2,65.7,61.7,25.9,24.3,Elite,5999,Endurance,CrossFit,Trainer B,4,18,4.0,8,1,2022-12-11
GYM1051,Saranya,Female,35,Bangalore,162.5,78.0,75.8,29.5,28.7,Standard,1999,Endurance,Zumba,No Trainer,4,2,2.2,10,0,2022-01-28
GYM1052,Vikram,Male,18,Kolkata,160.5,84.2,78.0,32.7,30.3,Elite,5999,Muscle Gain,Strength,Trainer A,4,17,6.2,6,0,2022-12-01
